Id,LotArea,OverallQual,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,YrSold,SalePrice
165,5400,6,1926,2004,370,779,1149,1616,2,3,1,5,0,1,2007,152000
166,10106,5,1940,1999,351,112,644,1355,2,4,2,6,0,0,2008,127500
167,10708,5,1955,1993,379,470,1617,1867,1,2,1,7,3,1,2009,190000
168,10562,8,2007,2007,1288,294,1582,2161,1,3,1,8,1,3,2007,325624
169,8244,7,2004,2004,0,840,840,1720,2,3,1,7,1,2,2007,183500
170,16669,8,1981,1981,0,1686,1686,1707,2,2,1,6,1,2,2006,228000
171,12358,5,1941,1950,360,360,720,1382,1,2,1,7,0,2,2007,128500
172,31770,6,1960,1960,639,441,1080,1656,1,3,1,7,2,2,2010,215000
173,5306,7,1987,1987,495,354,1064,1767,2,2,1,5,1,2,2006,239000
174,10197,6,1961,1961,288,700,1362,1362,1,3,1,6,1,2,2008,163000
175,12416,6,1986,1986,1398,0,1606,1651,2,3,1,7,1,2,2008,184000
176,12615,6,1950,2001,477,725,1202,2158,2,4,1,7,1,2,2007,243000
177,10029,6,1988,1989,831,320,1151,2060,2,4,1,8,1,2,2007,211000
178,13650,5,1958,1958,57,554,1052,1920,2,4,1,8,1,2,2006,172500
179,17423,9,2008,2009,1904,312,2216,2234,2,1,1,9,1,3,2009,501837
180,8520,5,1923,2006,0,968,968,968,1,2,1,5,0,2,2007,100000
181,2117,6,2000,2000,436,320,756,1525,2,3,1,5,1,2,2007,177000
182,7588,7,1920,1950,352,441,793,1802,1,4,1,9,1,1,2006,200100
183,9060,5,1957,2006,0,0,0,1340,1,3,1,7,1,1,2007,120000
184,11426,7,2003,2003,0,1362,1362,2082,2,3,1,6,0,2,2008,200000
185,7438,5,1908,1991,0,504,504,1252,1,3,1,5,0,2,2006,127000
186,22950,10,1892,1993,0,1107,1107,3608,2,4,1,12,2,3,2006,475000
187,9947,7,1990,1991,611,577,1188,1217,2,3,1,6,0,2,2009,173000
188,10410,5,1916,1987,0,660,660,1656,2,3,1,8,0,1,2009,135000
189,7018,5,1979,1979,1086,0,1086,1224,0,2,2,6,2,2,2009,153337
190,4923,8,2001,2002,1153,440,1593,1593,1,0,1,5,1,2,2008,286000
191,10570,8,1932,1994,297,556,853,2727,2,3,1,10,2,2,2007,315000
192,7472,7,1972,2004,626,99,725,1479,1,4,1,7,0,2,2007,184000
193,9017,7,1999,1999,560,871,1431,1431,2,3,1,6,0,2,2009,192000
194,2522,7,2004,2004,0,970,970,1709,2,3,1,7,0,2,2006,130000
195,7180,5,1972,1972,390,474,864,864,1,3,1,5,0,1,2008,127000
196,2280,6,1976,1976,566,289,855,1456,2,3,1,7,1,2,2009,148500
197,9416,7,2007,2007,1126,600,1726,1726,2,3,1,8,1,3,2007,311872
198,25419,8,1918,1990,1036,140,1360,3112,2,4,1,8,1,2,2006,235000
199,5520,6,1912,1950,0,755,755,2229,1,5,1,8,0,0,2009,104000
200,9591,8,2004,2005,1088,625,1713,1713,2,3,1,7,1,3,2009,274900
201,8546,4,2003,2004,0,1121,1121,1121,2,2,1,5,0,2,2010,140000
202,10125,6,1977,1977,641,276,1196,1279,2,3,1,6,2,2,2008,171500
203,7000,6,1924,1950,617,0,617,1310,2,2,1,6,0,1,2006,112000
204,4438,6,2004,2004,662,186,848,848,1,1,1,3,1,2,2008,149000
205,3500,5,1947,1950,312,408,720,1284,1,2,1,5,0,1,2009,110000
206,11851,7,1990,1990,0,1424,1424,1442,2,3,1,5,0,2,2009,180500
207,13673,5,1962,1962,0,1140,1140,1696,1,3,1,8,1,1,2007,143900
208,12493,4,1960,1960,419,375,1100,1100,1,3,1,6,1,1,2008,141000
209,14364,7,1988,1989,1065,92,1157,2062,2,3,1,7,1,2,2007,277000
210,8250,6,1964,1964,787,305,1092,1092,1,3,1,6,0,2,2008,145000
211,5604,5,1925,1950,468,396,864,864,1,2,1,5,0,0,2008,98000
212,10420,6,2009,2009,36,1176,1212,1212,2,3,1,6,0,2,2010,186000
213,8640,7,2009,2009,822,78,900,1852,2,3,1,7,1,2,2009,252678
214,13568,5,1995,1995,716,274,990,990,1,3,1,5,0,2,2006,156000
215,10900,6,1977,1977,378,311,689,1392,1,3,1,6,0,1,2010,161750
216,10011,5,1957,1996,360,710,1070,1236,1,2,1,6,1,1,2006,134450
217,8450,7,2004,2004,946,490,1436,1436,2,3,1,8,0,2,2008,210000
218,9906,4,1925,1950,0,686,686,1328,1,3,1,8,0,1,2006,107000
219,15660,7,1939,2006,341,457,798,1954,1,3,1,8,2,2,2008,311500
220,3010,7,2005,2006,16,1232,1248,1248,2,2,1,5,0,2,2006,167240
221,8990,7,2006,2006,0,1498,1498,1498,2,2,1,5,0,2,2006,204900
222,8068,6,2002,2002,0,1010,1010,2267,2,4,1,8,1,2,2009,200000
223,11475,6,1975,1975,550,163,713,1552,2,3,1,6,1,2,2006,179900
224,10500,4,1971,1971,524,160,864,864,1,2,1,4,0,2,2009,97000
225,13472,10,2003,2003,56,2336,2392,2392,2,3,1,8,1,3,2009,386250
226,1680,5,1971,1971,0,630,630,1302,2,3,1,6,0,1,2009,112000
227,9950,7,1995,1995,565,638,1203,2520,2,4,1,9,1,3,2007,290000
228,1869,6,1970,1970,321,162,483,987,1,2,1,5,0,1,2008,106000
229,8521,5,1967,1967,842,70,912,912,1,3,1,5,1,1,2010,125000
230,3182,7,2005,2006,16,1357,1373,1555,2,2,1,7,1,2,2009,192500
231,8760,6,1959,1959,0,1194,1194,1194,1,3,1,6,0,1,2010,148000
232,15138,8,1995,1996,689,773,1462,2794,2,4,1,9,1,3,2009,403000
233,1680,6,1972,1972,0,483,483,987,1,2,1,5,1,1,2006,94500
234,10650,5,1976,1976,182,0,894,894,1,3,1,5,0,1,2010,128200
235,7851,6,2002,2002,625,235,860,1960,2,4,1,8,2,2,2010,216500
236,1680,6,1971,1971,358,125,483,987,1,2,1,5,0,1,2008,89500
237,8773,7,2004,2004,24,1390,1414,1414,2,3,1,6,0,2,2010,185500
238,9453,7,1993,2003,402,594,996,1744,2,3,1,7,0,2,2010,194500
239,12030,8,2007,2007,0,1694,1694,1694,2,3,1,7,0,3,2007,318000
240,8741,6,1945,1950,94,641,735,1487,1,3,1,7,1,1,2010,113000
241,9000,8,2008,2008,1078,488,1566,1566,2,3,1,7,0,2,2010,262500
242,3880,5,1945,1997,329,357,686,866,1,2,1,4,0,0,2007,110500
243,5000,5,1900,1950,0,540,540,1440,1,3,1,6,0,1,2006,79000
244,10762,6,1980,1980,0,626,626,1217,1,3,1,6,1,1,2009,120000
245,8880,7,1994,2002,695,253,948,2110,2,3,1,8,2,2,2010,205000
246,10400,7,1988,1988,929,916,1845,1872,2,3,1,6,1,2,2006,241500
247,9142,6,1910,1950,0,1020,1020,1928,2,4,2,9,0,1,2006,137000
248,11310,6,1954,1954,0,1367,1367,1375,1,2,1,5,1,2,2006,140000
249,11317,7,2003,2003,0,840,840,1668,2,3,1,8,0,2,2007,180000
250,159000,6,1958,2006,697,747,1444,2144,2,4,1,7,2,2,2007,277000
251,5350,3,1940,1966,0,728,728,1306,1,3,1,6,0,0,2010,76500
252,4750,8,2006,2007,1573,0,1573,1625,2,2,1,5,1,2,2007,235000
253,8366,6,2004,2004,0,798,798,1640,2,3,1,6,0,2,2008,173000
254,9350,6,1964,1991,270,452,1302,1302,2,3,1,7,0,1,2007,158000
255,8400,5,1957,1957,922,392,1314,1314,1,3,1,5,0,1,2010,145000
256,8738,7,1999,1999,0,975,975,2291,2,4,1,8,1,2,2006,230000
257,8791,6,2003,2003,503,361,864,1728,2,3,1,7,0,2,2008,207500
258,8814,7,2006,2006,1334,270,1604,1604,2,3,1,8,1,2,2009,220000
259,12435,7,2001,2001,361,602,963,1792,2,3,1,7,1,2,2008,231500
260,12702,5,1956,1956,0,0,0,882,1,2,1,4,0,1,2008,97000
261,19296,6,1962,1962,672,0,1362,1382,1,3,1,6,1,2,2009,176000
262,9588,8,2007,2007,0,1482,1482,2574,2,3,1,10,1,3,2007,276000
263,8471,6,1977,1995,506,0,506,1212,1,3,1,6,1,2,2006,151000
264,5500,5,1929,2001,234,0,926,1316,1,3,1,6,0,2,2010,130000
265,5232,5,1925,2004,0,680,680,764,1,2,1,4,0,2,2008,73000
266,12090,6,1981,1981,588,606,1422,1422,2,3,1,7,1,2,2008,175500
267,11207,6,1997,1997,714,88,802,1511,2,3,1,8,1,2,2006,185000
268,8400,5,1939,1997,378,342,720,2192,2,4,1,8,1,1,2008,179500
269,6900,5,1940,1955,403,212,740,778,1,2,1,4,1,1,2008,120500
270,7917,6,1976,1976,751,392,1143,1113,1,3,1,6,1,1,2007,148000
271,10728,8,2006,2006,0,1095,1095,1939,2,3,1,8,1,3,2006,266000
272,39104,7,1954,2005,226,96,1385,1363,1,2,1,5,2,2,2008,241500
273,11764,8,1999,2007,524,628,1152,2270,2,4,1,9,1,3,2010,290000
274,9600,6,1958,1988,620,0,1240,1632,2,3,1,6,1,1,2009,139000
275,8314,5,1982,1982,546,270,816,816,1,2,1,5,0,1,2007,124500
276,7264,7,1925,2007,0,952,952,1548,2,3,1,5,0,2,2009,205000
277,9196,7,2003,2003,0,1560,1560,1560,2,3,1,7,0,2,2010,201000
278,19138,4,1951,1951,120,744,864,864,1,2,1,4,0,2,2010,141000
279,14450,9,2006,2007,0,2121,2121,2121,2,3,1,8,1,3,2007,415298
280,10005,7,1977,1977,392,768,1160,2022,2,4,1,8,1,2,2008,192000
281,11287,7,1989,1989,421,386,807,1982,2,3,1,7,1,2,2007,228500
282,7200,6,2006,2006,905,357,1262,1262,2,2,1,5,0,2,2006,185000
283,5063,7,2007,2008,904,410,1314,1314,2,2,1,6,1,2,2009,207500
284,9612,8,2008,2009,0,1468,1468,1468,2,3,1,6,1,3,2009,244600
285,8012,6,1992,1992,430,1145,1575,1575,2,2,1,5,0,2,2007,179200
286,4251,7,2006,2007,0,625,625,1250,2,2,1,5,0,2,2007,164700
287,9786,6,1962,1981,600,312,912,1734,1,3,1,7,1,2,2006,159000
288,8125,4,1971,1971,614,244,858,858,1,3,1,5,0,0,2006,88000
289,9819,5,1967,1967,450,432,882,900,1,3,1,5,0,1,2010,122000
290,8730,6,1915,2003,0,698,698,1396,1,3,1,7,0,1,2007,153575
291,15611,8,2006,2006,0,1079,1079,1919,2,3,1,8,1,2,2006,233230
292,5687,5,1912,2000,210,570,780,1716,2,6,1,9,0,0,2008,135900
293,11409,5,1949,2008,292,476,768,1716,1,3,1,8,1,1,2009,131000
294,16659,7,1977,1994,795,0,795,2263,2,3,1,9,1,2,2006,235000
295,9600,6,1953,1953,1285,131,1416,1644,1,3,1,7,2,2,2009,167000
296,7937,6,1984,1984,819,184,1003,1003,1,3,1,6,0,2,2006,142500
297,13710,5,1950,1950,420,490,910,1558,1,4,1,6,0,1,2007,152000
298,7399,7,1997,1998,649,326,975,1950,2,3,1,7,1,2,2007,239000
299,11700,6,1968,1968,384,143,702,1743,1,3,1,7,1,2,2007,175000
300,14000,6,1950,2004,0,1092,1092,1152,1,3,1,6,1,1,2009,158500
301,15750,5,1953,1953,841,324,1165,1336,1,2,1,5,2,1,2006,157000
302,16226,8,1998,1999,281,747,1028,2452,2,4,1,9,1,2,2007,267000
303,13704,7,2001,2002,0,1541,1541,1541,2,3,1,6,1,3,2006,205000
304,9800,5,1972,1972,894,0,894,894,1,3,1,5,0,2,2006,149900
305,18386,7,1880,2002,0,1470,1470,3493,3,3,1,10,1,3,2008,295000
306,10386,8,2004,2005,1464,536,2000,2000,2,3,1,8,0,3,2007,305900
307,13474,7,1990,1991,700,0,700,2243,2,4,1,8,1,3,2007,225000
308,7920,6,1920,1950,0,319,319,1406,1,3,1,6,0,0,2008,89500
309,12342,4,1940,1950,262,599,861,861,1,1,1,4,0,2,2009,82500
310,12378,9,2003,2004,1274,622,1896,1944,2,3,1,8,3,3,2006,360000
311,7685,6,1993,1994,518,179,697,1501,2,3,1,6,1,2,2006,165600
312,8000,6,1948,2002,680,292,972,972,1,2,1,5,1,1,2009,132000
313,7800,5,1939,1950,507,286,793,1118,1,3,1,5,1,2,2006,119900
314,215245,7,1965,1965,1236,80,2136,2036,2,3,1,8,2,2,2009,375000
315,9600,7,1925,1990,16,712,728,1641,1,3,1,6,1,2,2006,178000
316,7795,7,2004,2005,425,291,716,1432,2,3,1,6,1,2,2009,188500
317,13005,7,1980,1980,692,153,845,2353,2,4,1,10,1,2,2009,260000
318,9000,8,2006,2006,0,1088,1088,1959,2,3,1,8,1,3,2007,270000
319,9900,7,1993,1993,987,360,1347,2646,2,4,1,9,1,3,2009,260000
320,14115,7,1980,1980,1036,336,1372,1472,2,3,1,6,2,2,2009,187500
321,16259,9,2006,2006,0,1249,1249,2596,3,4,1,9,0,3,2006,342643
322,12099,8,2004,2004,970,166,1136,2468,2,4,1,10,1,3,2007,354000
323,10380,7,1986,1987,28,0,1502,2730,2,4,1,8,1,2,2007,301000
324,5820,3,1955,2005,256,906,1162,1163,1,3,1,6,0,1,2006,126175
325,11275,7,1967,2007,0,710,710,2978,2,5,1,11,1,2,2010,242000
326,5000,5,1941,1950,116,604,720,803,1,2,1,5,0,2,2007,87000
327,10846,8,1993,1993,1619,100,1719,1719,1,1,1,6,2,2,2008,324000
328,11600,6,1960,1960,565,818,1383,1383,1,3,1,7,0,1,2006,145250
329,11888,6,1916,1994,0,844,844,2134,2,5,1,10,0,2,2009,214500
330,6402,5,1920,1950,0,596,596,1192,1,3,1,6,0,1,2009,78000
331,10624,5,1964,1964,40,1424,1728,1728,2,6,2,10,0,1,2007,119000
332,8176,5,1958,1992,846,210,1056,1056,1,3,1,6,0,1,2007,139000
333,10655,8,2003,2004,1124,1603,3206,1629,2,3,1,7,1,3,2009,284000
334,8198,7,2004,2004,720,638,1358,1358,2,2,1,6,1,2,2008,207000
335,9042,6,1998,1998,828,115,943,1638,2,3,1,7,2,2,2008,192000
336,164660,5,1965,1965,1249,103,1499,1786,2,3,1,7,2,2,2008,228950
337,14157,9,2005,2006,1249,673,1922,1922,2,3,1,8,1,3,2007,377426
